Latitud,Longitud,Fecha,Humedad,Presion,Ruido,Temp,Gas_CO,Gas_NO2,Gas_O3,Gas_SO2,PM1,PM10,PM25
18.461493,-69.930983,2020-09-03,84.71646429,100830.5697,60.46159707,27.42661871,0.1292737313,0.0005579104478,0.0001949253731,0.01629191045,5.775223851,75.73671491,31.04134261
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-04,87.7325716,101002.9959,59.32386756,25.91948518,0.1456290758,0,0,0.01934037879,4.918939394,53.49727155,24.0571207
18.461493,-69.930983,2020-09-05,83.7179362,101003.1629,58.10568042,28.19471007,0.05202474627,0,0,0.01180397015,2.154626866,24.8429846,9.497910299
18.461493,-69.930983,2020-09-05,83.7179362,101003.1629,58.10568042,28.19471007,0.05202474627,0,0,0.01180397015,2.154626866,24.8429846,9.497910299
18.461493,-69.930983,2020-09-05,83.7179362,101003.1629,58.10568042,28.19471007,0.05202474627,0,0,0.01180397015,2.154626866,24.8429846,9.497910299
18.461493,-69.930983,2020-09-05,83.7179362,101003.1629,58.10568042,28.19471007,0.05202474627,0,0,0.01180397015,2.154626866,24.8429846,9.497910299
18.461493,-69.930983,2020-09-05,83.7179362,101003.1629,58.10568042,28.19471007,0.05202474627,0,0,0.01180397015,2.154626866,24.8429846,9.497910299
18.461493,-69.930983,2020-09-05,83.7179362,101003.1629,58.10568042,28.19471007,0.05202474627,0,0,0.01180397015,2.154626866,24.8429846,9.497910299
18.461493,-69.930983,2020-09-05,83.7179362,101003.1629,58.10568042,28.19471007,0.05202474627,0,0,0.01180397015,2.154626866,24.8429846,9.497910299
